Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Hamilton,3300,Southern Grampians,62.0,101.0,126.0,286.0,196.0,298.0,192.0,186.0,208.0,376.0,505.64,3.0,87.01
Cranbourne West,3977,Casey,35.0,88.0,91.0,110.0,157.0,115.0,82.0,229.0,176.0,211.0,501.42,3.0,110.91
Essendon,3040,Moonee Valley,22.0,65.0,165.0,188.0,122.0,102.0,194.0,131.0,130.0,131.0,493.21,3.0,104.94
Sebastopol,3356,Ballarat,44.0,74.0,121.0,93.0,194.0,290.0,152.0,192.0,174.0,260.0,489.8,3.0,88.84
Wheelers Hill,3150,Monash,18.0,36.0,48.0,57.0,49.0,53.0,53.0,43.0,109.0,106.0,486.19,3.0,97.03
Inglewood,3517,Loddon,3.0,2.0,3.0,7.0,12.0,8.0,8.0,25.0,17.0,18.0,483.87,3.0,165.94
Millgrove,3799,Yarra Ranges,3.0,4.0,21.0,21.0,9.0,30.0,9.0,29.0,39.0,18.0,483.87,3.0,155.51
Rowville,3178,Knox,38.0,90.0,171.0,186.0,210.0,189.0,221.0,217.0,172.0,222.0,482.94,3.0,88.6
Eureka,3350,Ballarat,2.0,7.0,3.0,0.0,3.0,2.0,6.0,5.0,13.0,12.0,476.19,3.0,119.71
Maffra,3860,Wellington,19.0,45.0,183.0,116.0,64.0,112.0,157.0,164.0,65.0,109.0,471.2,3.0,65.5
Carlton North,3054,Yarra,5.0,11.0,26.0,27.0,21.0,119.0,32.0,46.0,35.0,29.0,470.59,3.0,84.17
Bell Post Hill,3215,Greater Geelong,22.0,13.0,34.0,28.0,47.0,52.0,30.0,46.0,38.0,126.0,470.59,3.0,115.7
Manor Lakes,3024,Wyndham,13.0,5.0,42.0,38.0,46.0,24.0,30.0,57.0,64.0,74.0,465.65,3.0,94.13
Belmont,3216,Greater Geelong,35.0,86.0,110.0,144.0,144.0,139.0,144.0,195.0,141.0,198.0,464.39,3.0,106.94
Mitchell Park,3355,Ballarat,3.0,5.0,5.0,10.0,13.0,68.0,24.0,12.0,12.0,17.0,451.61,3.0,107.87
Ringwood North,3134,Maroondah,7.0,15.0,16.0,11.0,23.0,51.0,47.0,64.0,33.0,39.0,450.7,3.0,79.08
Cairnlea,3023,Brimbank,14.0,44.0,20.0,40.0,61.0,151.0,70.0,53.0,93.0,77.0,446.81,3.0,62.71
Doreen,3754,Whittlesea,42.0,78.0,80.0,137.0,254.0,212.0,217.0,279.0,154.0,229.0,444.18,3.0,73.73
Wendouree,3350,Ballarat,51.0,120.0,143.0,168.0,216.0,174.0,187.0,256.0,223.0,276.0,440.31,3.0,103.7
Oakleigh,3166,Monash,20.0,46.0,70.0,130.0,145.0,111.0,112.0,147.0,132.0,108.0,437.81,3.0,89.12
Wyndham Vale,3024,Wyndham,37.0,93.0,145.0,187.0,134.0,204.0,182.0,299.0,198.0,199.0,436.66,3.0,99.65
Maidstone,3012,Maribyrnong,20.0,38.0,63.0,49.0,37.0,50.0,74.0,56.0,49.0,107.0,432.84,3.0,94.39
Natimuk,3409,Horsham,2.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,11.0,428.57,3.0,65.66
Bayswater,3153,Knox,40.0,160.0,116.0,161.0,119.0,144.0,146.0,174.0,215.0,211.0,426.43,3.0,104.25
South Yarra,3141,Stonnington,56.0,98.0,141.0,118.0,213.0,189.0,208.0,236.0,230.0,295.0,426.02,3.0,22.0
Somerville,3912,Mornington Peninsula,34.0,63.0,100.0,193.0,79.0,92.0,56.0,129.0,86.0,178.0,422.29,3.0,133.77
Oakleigh East,3166,Monash,8.0,27.0,46.0,68.0,50.0,35.0,43.0,27.0,71.0,42.0,419.75,3.0,72.99
Tullamarine,3043,Hume,24.0,37.0,229.0,103.0,56.0,39.0,92.0,149.0,78.0,125.0,419.09,3.0,113.92
Yinnar,3869,Latrobe,4.0,8.0,9.0,4.0,1.0,1.0,6.0,33.0,8.0,21.0,414.63,3.0,155.68
Brunswick East,3057,Merri-bek,13.0,50.0,40.0,35.0,58.0,39.0,38.0,30.0,72.0,67.0,412.21,3.0,77.31
Ashburton,3147,Boroondara,14.0,28.0,38.0,80.0,36.0,45.0,40.0,39.0,42.0,72.0,411.35,3.0,122.5
Toorak,3142,Stonnington,22.0,26.0,26.0,45.0,32.0,20.0,72.0,54.0,59.0,112.0,407.24,3.0,58.43
Heathmont,3135,Maroondah,12.0,51.0,30.0,84.0,25.0,102.0,34.0,54.0,60.0,61.0,404.96,3.0,89.73
Chadstone,3148,Monash,24.0,59.0,36.0,89.0,84.0,69.0,115.0,117.0,118.0,120.0,398.34,3.0,65.86
Oak Park,3046,Merri-bek,6.0,29.0,25.0,57.0,41.0,25.0,27.0,30.0,12.0,30.0,393.44,3.0,146.75
Heywood,3304,Glenelg,19.0,7.0,5.0,20.0,6.0,17.0,25.0,14.0,60.0,94.0,392.67,3.0,86.62
Narre Warren South,3805,Casey,59.0,181.0,172.0,205.0,150.0,175.0,166.0,202.0,185.0,291.0,392.55,3.0,96.71
Spotswood,3015,Hobsons Bay,5.0,10.0,11.0,19.0,24.0,5.0,1.0,15.0,9.0,25.0,392.16,3.0,102.94
Lovely Banks,3213,Greater Geelong,5.0,1.0,12.0,29.0,20.0,9.0,16.0,18.0,20.0,25.0,392.16,3.0,111.65
Lucknow,3875,East Gippsland,5.0,6.0,22.0,9.0,24.0,53.0,32.0,30.0,35.0,25.0,392.16,3.0,27.66
Newcomb,3219,Greater Geelong,16.0,50.0,30.0,58.0,46.0,60.0,51.0,93.0,88.0,79.0,391.3,3.0,119.64
Broadford,3658,Mitchell,23.0,25.0,101.0,36.0,80.0,80.0,111.0,123.0,73.0,112.0,385.28,3.0,104.12
Kerang,3579,Gannawarra,36.0,47.0,61.0,94.0,80.0,97.0,106.0,116.0,92.0,175.0,385.04,3.0,75.99
Merbein,3505,Mildura,9.0,20.0,21.0,61.0,35.0,61.0,34.0,62.0,39.0,44.0,384.62,3.0,110.32
Mount Waverley,3149,Monash,26.0,59.0,78.0,87.0,150.0,80.0,103.0,166.0,199.0,126.0,383.14,3.0,84.15
Mentone,3194,Kingston,37.0,63.0,79.0,62.0,56.0,73.0,56.0,76.0,71.0,179.0,382.75,3.0,74.18
Lynbrook,3975,Casey,13.0,41.0,66.0,86.0,60.0,37.0,51.0,56.0,52.0,63.0,381.68,3.0,87.21
Essendon West,3040,Moonee Valley,2.0,0.0,2.0,16.0,15.0,3.0,5.0,9.0,8.0,10.0,380.95,3.0,61.81
West Wodonga,3690,Wodonga,36.0,78.0,133.0,108.0,113.0,105.0,187.0,183.0,151.0,173.0,379.5,3.0,74.31
Bayswater North,3153,Maroondah,30.0,62.0,54.0,87.0,67.0,108.0,97.0,104.0,135.0,144.0,378.74,3.0,85.38
Surrey Hills,3127,Boroondara,9.0,12.0,11.0,31.0,39.0,19.0,34.0,40.0,57.0,43.0,373.63,3.0,62.96
Caulfield,3162,Glen Eira,19.0,82.0,39.0,119.0,49.0,41.0,53.0,38.0,54.0,90.0,371.73,3.0,61.19
Bundoora,3083,Whittlesea,60.0,81.0,99.0,179.0,143.0,246.0,210.0,205.0,224.0,281.0,367.72,3.0,59.72
Warragul,3820,Baw Baw,99.0,123.0,195.0,262.0,302.0,445.0,288.0,345.0,346.0,463.0,367.31,3.0,105.71
Euroa,3666,Strathbogie,13.0,13.0,18.0,14.0,37.0,37.0,49.0,14.0,60.0,61.0,366.41,3.0,86.3
Heathcote,3523,Greater Bendigo,18.0,5.0,15.0,34.0,17.0,47.0,22.0,68.0,89.0,84.0,364.64,3.0,119.78
Edenhope,3318,West Wimmera,1.0,38.0,13.0,9.0,7.0,6.0,10.0,5.0,8.0,5.0,363.64,3.0,0.94
Flowerdale,3717,Murrindindi,1.0,0.0,1.0,1.0,1.0,1.0,10.0,8.0,42.0,5.0,363.64,3.0,64.1
Epsom,3551,Greater Bendigo,12.0,38.0,15.0,42.0,24.0,35.0,42.0,58.0,93.0,56.0,363.64,3.0,86.05
Rawson,3825,Baw Baw,1.0,3.0,17.0,1.0,7.0,17.0,1.0,1.0,3.0,5.0,363.64,3.0,80.69
Sailors Gully,3556,Greater Bendigo,1.0,1.0,10.0,3.0,7.0,2.0,0.0,3.0,1.0,5.0,363.64,3.0,85.77
Scoresby,3179,Knox,9.0,37.0,26.0,29.0,33.0,88.0,37.0,96.0,74.0,42.0,362.64,3.0,93.03
Beechworth,3747,Indigo,9.0,8.0,24.0,14.0,7.0,17.0,21.0,41.0,24.0,42.0,362.64,3.0,118.64
Jacana,3047,Hume,9.0,44.0,60.0,75.0,36.0,53.0,92.0,39.0,36.0,42.0,362.64,3.0,90.87
Golden Square,3555,Greater Bendigo,33.0,73.0,71.0,129.0,238.0,107.0,129.0,118.0,167.0,153.0,362.54,3.0,79.66
Ocean Grove,3226,Greater Geelong,19.0,18.0,47.0,42.0,44.0,79.0,48.0,75.0,94.0,88.0,361.26,3.0,145.1
Redan,3350,Ballarat,19.0,30.0,40.0,52.0,58.0,86.0,72.0,62.0,63.0,88.0,361.26,3.0,103.6
Melton South,3338,Melton,56.0,97.0,152.0,204.0,195.0,244.0,185.0,321.0,259.0,258.0,360.07,3.0,132.61
Craigieburn,3064,Hume,133.0,411.0,387.0,512.0,373.0,502.0,719.0,745.0,582.0,611.0,359.13,3.0,85.56
Footscray,3011,Maribyrnong,83.0,211.0,229.0,231.0,237.0,262.0,256.0,181.0,183.0,381.0,358.6,3.0,66.0
Wurruk,3850,Wellington,8.0,23.0,9.0,12.0,19.0,12.0,18.0,42.0,44.0,37.0,358.02,3.0,53.16
Kilsyth,3137,Yarra Ranges,28.0,58.0,100.0,81.0,118.0,103.0,77.0,75.0,220.0,128.0,355.87,3.0,96.67
Carrum Downs,3201,Frankston,70.0,143.0,181.0,314.0,256.0,243.0,286.0,335.0,281.0,319.0,355.21,3.0,120.61
Glen Waverley,3150,Monash,55.0,105.0,256.0,160.0,192.0,157.0,168.0,225.0,258.0,249.0,352.09,3.0,102.45
Colac,3250,Colac-Otway,67.0,142.0,212.0,188.0,206.0,185.0,233.0,228.0,273.0,302.0,350.22,3.0,128.48
Kilmore,3764,Mitchell,36.0,80.0,88.0,80.0,166.0,135.0,186.0,239.0,143.0,162.0,349.03,3.0,88.4
Koo Wee Rup,3981,Cardinia,10.0,22.0,53.0,32.0,17.0,19.0,31.0,38.0,14.0,45.0,346.53,3.0,122.22
Hampton Park,3976,Casey,103.0,178.0,300.0,264.0,209.0,167.0,235.0,322.0,347.0,460.0,346.27,3.0,100.0
Bell Park,3215,Greater Geelong,17.0,42.0,65.0,49.0,40.0,42.0,39.0,104.0,40.0,76.0,345.03,3.0,78.34
Creswick,3363,Hepburn,6.0,24.0,9.0,37.0,45.0,37.0,49.0,41.0,36.0,27.0,344.26,3.0,112.24
Tongala,3621,Campaspe,6.0,10.0,5.0,10.0,30.0,31.0,34.0,28.0,39.0,27.0,344.26,3.0,128.65
Mont Albert,3127,Whitehorse,6.0,13.0,16.0,10.0,2.0,28.0,9.0,13.0,14.0,27.0,344.26,3.0,103.27
Diggers Rest,3427,Melton,11.0,29.0,10.0,34.0,43.0,22.0,25.0,103.0,39.0,49.0,342.34,3.0,134.82
Mansfield,3722,Mansfield,11.0,34.0,38.0,67.0,41.0,53.0,93.0,70.0,62.0,49.0,342.34,3.0,118.41
Coronet Bay,3984,Bass Coast,4.0,37.0,50.0,4.0,4.0,17.0,16.0,48.0,13.0,18.0,341.46,3.0,154.98
Bonbeach,3196,Kingston,17.0,29.0,41.0,66.0,106.0,28.0,90.0,74.0,58.0,75.0,339.18,3.0,105.34
Albion,3020,Brimbank,18.0,20.0,24.0,56.0,41.0,53.0,67.0,44.0,62.0,79.0,337.02,3.0,107.12
Hawthorn,3122,Boroondara,28.0,35.0,62.0,70.0,74.0,51.0,78.0,83.0,68.0,122.0,334.52,3.0,57.78
Aireys Inlet,3231,Surf Coast,2.0,5.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,9.0,333.33,3.0,163.55
Pyramid Hill,3575,Loddon,2.0,2.0,1.0,24.0,3.0,5.0,6.0,15.0,11.0,9.0,333.33,3.0,77.78
Lake Boga,3584,Swan Hill,2.0,2.0,4.0,7.0,4.0,3.0,2.0,14.0,16.0,9.0,333.33,3.0,71.5
Seddon,3011,Maribyrnong,8.0,24.0,14.0,21.0,13.0,29.0,22.0,82.0,11.0,35.0,333.33,3.0,43.85
Ivanhoe East,3079,Banyule,2.0,10.0,3.0,10.0,13.0,14.0,16.0,10.0,11.0,9.0,333.33,3.0,103.82
Hawthorn East,3123,Boroondara,9.0,14.0,12.0,84.0,34.0,52.0,27.0,43.0,53.0,39.0,329.67,3.0,43.61
Chelsea Heights,3196,Kingston,14.0,10.0,45.0,30.0,31.0,32.0,76.0,146.0,73.0,60.0,326.24,3.0,111.83
Lakes Entrance,3909,East Gippsland,50.0,97.0,99.0,122.0,92.0,141.0,209.0,269.0,159.0,212.0,323.35,3.0,100.37
Richmond,3305,Yarra,80.0,256.0,241.0,345.0,357.0,352.0,314.0,391.0,377.0,337.0,320.85,3.0,53.89
Shepparton,3630,Greater Shepparton,521.0,842.0,987.0,1134.0,1167.0,1396.0,1529.0,1879.0,2117.0,2192.0,320.67,3.0,63.97
Tarneit,3029,Wyndham,56.0,89.0,114.0,132.0,173.0,150.0,243.0,220.0,208.0,235.0,319.07,3.0,73.85
Abbotsford,3067,Yarra,20.0,86.0,123.0,49.0,126.0,114.0,69.0,73.0,111.0,84.0,318.41,3.0,91.48
Airport West,3042,Moonee Valley,21.0,48.0,49.0,48.0,90.0,75.0,114.0,85.0,57.0,88.0,317.54,3.0,72.84
Box Hill,3128,Whitehorse,44.0,105.0,215.0,144.0,170.0,106.0,133.0,228.0,150.0,184.0,317.46,3.0,50.88
South Morang,3752,Whittlesea,72.0,86.0,105.0,155.0,242.0,194.0,182.0,229.0,150.0,300.0,316.23,3.0,81.93
Berwick,3806,Casey,85.0,270.0,252.0,476.0,328.0,402.0,423.0,389.0,335.0,351.0,312.57,3.0,90.4
Croydon North,3136,Maroondah,15.0,12.0,34.0,29.0,38.0,25.0,29.0,50.0,44.0,62.0,311.26,3.0,119.8
Camberwell,3124,Boroondara,27.0,64.0,88.0,111.0,125.0,51.0,106.0,53.0,82.0,111.0,309.96,3.0,73.88
Upwey,3158,Yarra Ranges,7.0,21.0,22.0,18.0,25.0,25.0,30.0,40.0,51.0,29.0,309.86,3.0,103.53
Launching Place,3139,Yarra Ranges,8.0,2.0,11.0,7.0,8.0,8.0,8.0,20.0,8.0,33.0,308.64,3.0,148.48
Meadow Heights,3048,Hume,72.0,178.0,186.0,232.0,175.0,232.0,241.0,343.0,287.0,292.0,305.13,3.0,89.27
Capel Sound,3940,Mornington Peninsula,17.0,47.0,66.0,101.0,64.0,60.0,60.0,97.0,55.0,69.0,304.09,3.0,142.86
Greenvale,3059,Hume,23.0,21.0,25.0,38.0,62.0,101.0,97.0,113.0,154.0,92.0,298.7,3.0,49.09
Fairfield,3078,Darebin,10.0,28.0,21.0,30.0,23.0,39.0,64.0,13.0,33.0,40.0,297.03,3.0,68.31
Essendon North,3041,Moonee Valley,8.0,8.0,4.0,14.0,14.0,26.0,22.0,13.0,40.0,32.0,296.3,3.0,84.14
Kew,3101,Boroondara,33.0,76.0,95.0,124.0,123.0,89.0,134.0,142.0,85.0,131.0,296.07,3.0,31.35
Yarrawonga,3730,Moira,26.0,37.0,45.0,54.0,119.0,41.0,62.0,73.0,95.0,103.0,295.02,3.0,129.75
Mernda,3754,Whittlesea,64.0,110.0,168.0,179.0,243.0,255.0,255.0,316.0,265.0,253.0,294.85,3.0,82.0
Mortlake,3272,Moyne,4.0,6.0,10.0,13.0,10.0,10.0,27.0,28.0,19.0,16.0,292.68,3.0,149.03
Roxburgh Park,3064,Hume,54.0,121.0,165.0,278.0,171.0,158.0,174.0,233.0,175.0,212.0,292.05,3.0,76.71
Nunawading,3131,Whitehorse,25.0,88.0,58.0,28.0,82.0,80.0,85.0,75.0,69.0,98.0,290.84,3.0,103.14
Hurstbridge,3099,Nillumbik,3.0,7.0,19.0,11.0,21.0,34.0,23.0,17.0,16.0,12.0,290.32,3.0,188.38
Black Rock,3193,Bayside,2.0,16.0,6.0,10.0,15.0,31.0,13.0,8.0,14.0,8.0,285.71,3.0,138.78
Ballarat East,3350,Ballarat,25.0,26.0,42.0,69.0,80.0,63.0,75.0,68.0,131.0,96.0,282.87,3.0,103.77
Corio,3214,Greater Geelong,156.0,247.0,274.0,368.0,415.0,387.0,410.0,385.0,531.0,596.0,281.87,3.0,127.83
Pascoe Vale,3044,Merri-bek,34.0,72.0,78.0,124.0,115.0,93.0,147.0,193.0,168.0,130.0,281.52,3.0,89.22
Red Cliffs,3496,Mildura,23.0,29.0,49.0,50.0,51.0,78.0,56.0,72.0,42.0,88.0,281.39,3.0,99.39
Niddrie,3042,Moonee Valley,6.0,3.0,5.0,29.0,29.0,10.0,61.0,58.0,18.0,23.0,278.69,3.0,42.14
Leopold,3224,Greater Geelong,20.0,22.0,27.0,30.0,45.0,38.0,68.0,66.0,75.0,76.0,278.61,3.0,94.44
Glenroy,3046,Merri-bek,106.0,150.0,208.0,259.0,212.0,290.0,317.0,359.0,276.0,400.0,277.1,3.0,79.52
Kangaroo Flat,3555,Greater Bendigo,58.0,197.0,83.0,140.0,150.0,170.0,216.0,271.0,269.0,218.0,275.39,3.0,86.32
Ivanhoe,3079,Banyule,13.0,57.0,86.0,43.0,68.0,90.0,43.0,42.0,56.0,49.0,274.81,3.0,75.23
Camperdown,3260,Corangamite,9.0,13.0,26.0,38.0,48.0,40.0,21.0,54.0,29.0,34.0,274.73,3.0,83.64
Mount Eliza,3930,Mornington Peninsula,20.0,41.0,41.0,96.0,42.0,79.0,31.0,49.0,47.0,75.0,273.63,3.0,135.67
Norlane,3214,Greater Geelong,118.0,189.0,310.0,317.0,288.0,284.0,326.0,413.0,524.0,441.0,273.5,3.0,149.38
Portsea,3944,Mornington Peninsula,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,4.0,272.73,3.0,268.2
Avoca,3467,Pyrenees,1.0,3.0,1.0,11.0,37.0,15.0,23.0,17.0,8.0,4.0,272.73,3.0,105.48
Maldon,3463,Mount Alexander,4.0,7.0,5.0,7.0,1.0,3.0,9.0,5.0,4.0,15.0,268.29,3.0,120.0
Flora Hill,3550,Greater Bendigo,13.0,25.0,19.0,30.0,28.0,67.0,53.0,63.0,56.0,48.0,267.18,3.0,77.42
Clifton Hill,3068,Yarra,9.0,24.0,36.0,26.0,27.0,18.0,17.0,30.0,28.0,33.0,263.74,3.0,92.62
Seaford,3198,Frankston,109.0,235.0,224.0,279.0,275.0,243.0,259.0,321.0,251.0,396.0,263.06,3.0,118.38
Dingley Village,3172,Kingston,24.0,17.0,45.0,17.0,27.0,43.0,41.0,23.0,45.0,87.0,261.41,3.0,122.22
Edithvale,3196,Kingston,31.0,9.0,21.0,95.0,49.0,72.0,66.0,71.0,47.0,112.0,260.45,3.0,118.94
East Geelong,3219,Greater Geelong,8.0,19.0,5.0,31.0,37.0,21.0,14.0,40.0,47.0,29.0,259.26,3.0,88.0
Princes Hill,3054,Yarra,5.0,7.0,5.0,26.0,7.0,12.0,11.0,19.0,18.0,18.0,254.9,3.0,30.09
Cobram,3644,Moira,36.0,69.0,90.0,67.0,114.0,163.0,113.0,165.0,171.0,128.0,254.85,3.0,72.02
Kilsyth South,3137,Maroondah,7.0,8.0,7.0,18.0,12.0,4.0,11.0,13.0,8.0,25.0,253.52,3.0,118.43
Viewbank,3084,Banyule,9.0,9.0,9.0,26.0,19.0,45.0,29.0,24.0,11.0,32.0,252.75,3.0,92.86
Yallourn North,3825,Latrobe,9.0,16.0,6.0,18.0,20.0,30.0,29.0,15.0,15.0,32.0,252.75,3.0,124.07
Bittern,3918,Mornington Peninsula,11.0,15.0,42.0,9.0,9.0,50.0,20.0,6.0,19.0,39.0,252.25,3.0,117.04
Brookfield,3338,Melton,19.0,70.0,42.0,69.0,80.0,90.0,121.0,136.0,100.0,67.0,251.31,3.0,78.33
Portland,3305,Glenelg,106.0,217.0,210.0,227.0,269.0,166.0,261.0,253.0,294.0,371.0,249.76,3.0,88.72
Burwood,3125,Whitehorse,22.0,182.0,189.0,79.0,48.0,65.0,136.0,146.0,85.0,77.0,248.87,3.0,76.92
Horsham,3400,Horsham,192.0,429.0,697.0,646.0,635.0,768.0,432.0,748.0,797.0,669.0,248.31,3.0,76.74
Croydon South,3136,Maroondah,12.0,21.0,17.0,33.0,28.0,34.0,48.0,55.0,67.0,42.0,247.93,3.0,100.79
Deer Park,3023,Brimbank,58.0,98.0,164.0,195.0,263.0,217.0,141.0,260.0,182.0,202.0,247.85,3.0,86.21
California Gully,3556,Greater Bendigo,36.0,74.0,60.0,77.0,65.0,118.0,136.0,59.0,107.0,125.0,246.54,3.0,73.47
Kurunjang,3337,Melton,49.0,83.0,92.0,112.0,148.0,106.0,162.0,104.0,183.0,170.0,246.44,3.0,92.51
Beaumaris,3193,Bayside,14.0,20.0,27.0,48.0,25.0,77.0,23.0,44.0,32.0,48.0,241.13,3.0,91.81
Cranbourne East,3977,Casey,41.0,43.0,59.0,125.0,72.0,80.0,114.0,192.0,119.0,140.0,240.88,3.0,84.62
White Hills,3550,Greater Bendigo,17.0,35.0,39.0,40.0,51.0,23.0,49.0,46.0,46.0,58.0,239.77,3.0,83.93
Glen Iris,3146,Boroondara,25.0,24.0,25.0,67.0,46.0,65.0,37.0,94.0,165.0,85.0,239.04,3.0,64.12
Minyip,3392,Yarriambiack,2.0,0.0,0.0,1.0,0.0,1.0,4.0,7.0,7.0,7.0,238.1,3.0,95.92
Koroit,3282,Moyne,2.0,29.0,3.0,11.0,10.0,12.0,5.0,16.0,20.0,7.0,238.1,3.0,90.55
Nathalia,3638,Moira,2.0,16.0,18.0,24.0,73.0,41.0,45.0,23.0,3.0,7.0,238.1,3.0,100.0
Chirnside Park,3116,Yarra Ranges,21.0,56.0,97.0,67.0,49.0,31.0,62.0,103.0,61.0,71.0,236.97,3.0,111.11
Clarinda,3169,Kingston,13.0,28.0,27.0,28.0,39.0,32.0,66.0,47.0,58.0,44.0,236.64,3.0,123.43
Lilydale,3140,Yarra Ranges,82.0,130.0,272.0,344.0,426.0,370.0,269.0,317.0,261.0,274.0,233.86,3.0,81.45
Sale,3852,Wellington,201.0,344.0,459.0,468.0,328.0,456.0,609.0,669.0,546.0,668.0,232.22,3.0,77.59
Wantirna South,3152,Knox,43.0,121.0,153.0,220.0,180.0,174.0,190.0,168.0,145.0,143.0,232.02,3.0,130.74
St Albans,3021,Brimbank,169.0,217.0,227.0,346.0,371.0,445.0,544.0,589.0,476.0,561.0,231.82,3.0,100.71
Balaclava,3183,Port Phillip,22.0,16.0,38.0,57.0,61.0,38.0,39.0,59.0,53.0,73.0,230.77,3.0,92.91
Ringwood East,3135,Maroondah,29.0,51.0,43.0,78.0,72.0,75.0,89.0,58.0,50.0,96.0,230.24,3.0,96.53
Wedderburn,3518,Loddon,6.0,6.0,5.0,14.0,8.0,17.0,12.0,23.0,34.0,20.0,229.51,3.0,111.04
Mildura,3500,Mildura,415.0,648.0,842.0,878.0,1039.0,1325.0,1237.0,1176.0,1315.0,1365.0,228.86,3.0,94.9
Grovedale,3216,Greater Geelong,35.0,52.0,66.0,92.0,106.0,145.0,124.0,134.0,151.0,115.0,227.92,3.0,98.44
Cranbourne,3977,Casey,153.0,321.0,424.0,528.0,550.0,585.0,519.0,582.0,543.0,500.0,226.65,3.0,112.7
Dimboola,3414,Hindmarsh,3.0,9.0,8.0,10.0,10.0,20.0,26.0,213.0,42.0,10.0,225.81,3.0,183.71
Yea,3755,Murrindindi,3.0,8.0,10.0,6.0,6.0,23.0,12.0,42.0,13.0,10.0,225.81,3.0,134.62
Ballarat North,3350,Ballarat,11.0,12.0,23.0,21.0,22.0,18.0,22.0,54.0,25.0,36.0,225.23,3.0,114.53
Sunshine North,3020,Brimbank,36.0,68.0,68.0,112.0,105.0,120.0,91.0,110.0,121.0,117.0,224.38,3.0,83.62
Taylors Hill,3037,Melton,16.0,38.0,86.0,29.0,84.0,88.0,39.0,148.0,40.0,52.0,223.6,3.0,68.51
Reservoir,3073,Darebin,258.0,442.0,477.0,519.0,534.0,576.0,623.0,861.0,856.0,832.0,222.39,3.0,89.41
Carisbrook,3464,Central Goldfields,4.0,12.0,19.0,6.0,5.0,7.0,30.0,14.0,13.0,13.0,219.51,3.0,154.0
Caulfield North,3161,Glen Eira,25.0,20.0,29.0,42.0,18.0,67.0,62.0,122.0,115.0,80.0,219.12,3.0,94.7
Hastings,3915,Mornington Peninsula,104.0,158.0,187.0,307.0,272.0,372.0,302.0,325.0,350.0,332.0,219.02,2.0,112.46
Benalla,3672,Benalla,121.0,225.0,192.0,356.0,161.0,192.0,221.0,290.0,344.0,377.0,211.4,2.0,82.02
Ferntree Gully,3156,Knox,84.0,182.0,186.0,158.0,161.0,219.0,273.0,211.0,293.0,261.0,210.46,2.0,99.56
Seville,3139,Yarra Ranges,8.0,3.0,22.0,10.0,16.0,6.0,12.0,28.0,40.0,25.0,209.88,2.0,102.5
Huntingdale,3166,Monash,8.0,4.0,8.0,10.0,5.0,17.0,12.0,5.0,10.0,25.0,209.88,2.0,85.89
The Basin,3154,Knox,10.0,11.0,7.0,24.0,16.0,34.0,31.0,54.0,50.0,31.0,207.92,2.0,94.77
Gisborne,3437,Macedon Ranges,29.0,38.0,65.0,260.0,72.0,108.0,81.0,84.0,81.0,89.0,206.19,2.0,126.81
Keilor East,3033,Moonee Valley,35.0,38.0,42.0,60.0,235.0,54.0,63.0,184.0,88.0,107.0,205.13,2.0,84.38
Mount Pleasant,3350,Ballarat,19.0,32.0,11.0,31.0,43.0,36.0,31.0,51.0,28.0,58.0,204.19,2.0,113.38
Caulfield South,3162,Glen Eira,20.0,26.0,23.0,40.0,77.0,26.0,43.0,35.0,39.0,61.0,203.98,2.0,71.43
Warrnambool,3280,Warrnambool,288.0,547.0,544.0,541.0,604.0,772.0,611.0,637.0,751.0,866.0,200.62,2.0,80.77
Sunbury,3429,Hume,175.0,233.0,437.0,548.0,636.0,389.0,468.0,542.0,494.0,526.0,200.46,2.0,84.51
Maddingley,3340,Moorabool,13.0,23.0,24.0,11.0,17.0,37.0,19.0,47.0,31.0,39.0,198.47,2.0,95.89
Canadian,3350,Ballarat,11.0,18.0,22.0,80.0,14.0,11.0,21.0,16.0,36.0,33.0,198.2,2.0,76.12
Echuca,3564,Campaspe,162.0,211.0,314.0,430.0,402.0,522.0,543.0,450.0,484.0,483.0,198.03,2.0,84.56
Wandin North,3139,Yarra Ranges,10.0,2.0,8.0,11.0,13.0,17.0,23.0,19.0,23.0,30.0,198.02,2.0,120.86
Monbulk,3793,Yarra Ranges,9.0,4.0,5.0,17.0,11.0,9.0,23.0,39.0,17.0,27.0,197.8,2.0,100.0
Geelong West,3218,Greater Geelong,31.0,22.0,52.0,49.0,88.0,67.0,69.0,127.0,66.0,92.0,196.14,2.0,150.0
Fawkner,3060,Merri-bek,50.0,96.0,205.0,149.0,72.0,172.0,318.0,241.0,121.0,148.0,195.61,2.0,98.78
Swan Reach,3903,East Gippsland,4.0,2.0,0.0,0.0,4.0,18.0,7.0,9.0,14.0,12.0,195.12,2.0,232.39
Myrtleford,3737,Alpine,21.0,21.0,35.0,26.0,21.0,23.0,66.0,91.0,61.0,62.0,194.31,2.0,183.86
Charlton,3525,Buloke,2.0,2.0,0.0,19.0,0.0,4.0,8.0,149.0,37.0,6.0,190.48,2.0,125.0
