Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2014,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,71,575000.0
2015,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,12,635000.0
2015,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,6,635000.0
2015,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,50,635000.0
2015,Moonee Valley,3042,Airport West,C Drug offences,C90 Other drug offences,3,635000.0
2016,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,14,742000.0
2016,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,4,742000.0
2016,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,53,742000.0
2017,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,6,845000.0
2017,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,2,845000.0
2017,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,28,845000.0
2018,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,7,845000.0
2018,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,3,845000.0
2018,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,61,845000.0
2019,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,10,795000.0
2019,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,4,795000.0
2019,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,71,795000.0
2020,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,8,812500.0
2020,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,6,812500.0
2020,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,43,812500.0
2021,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,5,960000.0
2021,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,9,960000.0
2021,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,44,960000.0
2022,Moonee Valley,3042,Airport West,C Drug offences,C10 Drug dealing and trafficking,2,919500.0
2022,Moonee Valley,3042,Airport West,C Drug offences,C20 Cultivate or manufacture drugs,2,919500.0
2022,Moonee Valley,3042,Airport West,C Drug offences,C30 Drug use and possession,44,919500.0
2022,Moonee Valley,3042,Airport West,C Drug offences,C90 Other drug offences,1,919500.0
2013,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,3,313000.0
2013,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,11,313000.0
2013,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,16,313000.0
2014,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,7,328000.0
2014,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,11,328000.0
2014,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,23,328000.0
2015,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,2,345000.0
2015,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,3,345000.0
2015,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,28,345000.0
2016,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,2,439000.0
2016,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,2,439000.0
2016,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,19,439000.0
2017,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,1,526500.0
2017,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,4,526500.0
2017,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,6,526500.0
2018,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,8,546000.0
2018,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,4,546000.0
2018,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,18,546000.0
2019,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,17,512000.0
2019,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,4,512000.0
2019,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,27,512000.0
