Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2017,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,64,845000.0
2018,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,23,845000.0
2018,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,52,845000.0
2019,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,25,795000.0
2019,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,89,795000.0
2020,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,10,812500.0
2020,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,75,812500.0
2021,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,8,960000.0
2021,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,49,960000.0
2022,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,12,919500.0
2022,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,76,919500.0
2013,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,2,313000.0
2013,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,19,313000.0
2014,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,13,328000.0
2015,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,5,345000.0
2015,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,9,345000.0
2016,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,12,439000.0
2016,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,31,439000.0
2017,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,2,526500.0
2017,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,91,526500.0
2018,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,12,546000.0
2018,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,94,546000.0
2019,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,7,512000.0
2019,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,163,512000.0
2020,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,6,545000.0
2020,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,89,545000.0
2021,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,6,610000.0
2021,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,110,610000.0
2022,Brimbank,3021,Albanvale,E Justice procedures offences,E10 Justice procedures,1,605000.0
2022,Brimbank,3021,Albanvale,E Justice procedures offences,E20 Breaches of orders,59,605000.0
2013,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,4,1360000.0
2013,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,7,1360000.0
2014,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,2,1503000.0
2014,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,20,1503000.0
2015,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,3,1700000.0
2015,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,2,1700000.0
2016,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,4,1775000.0
2016,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,22,1775000.0
2017,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,5,2150000.0
2017,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,8,2150000.0
2018,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,4,2070000.0
2018,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,21,2070000.0
2019,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,18,1990000.0
2019,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,29,1990000.0
2020,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,11,1895000.0
2020,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,25,1895000.0
2021,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,5,2300000.0
2021,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,24,2300000.0
2022,Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,7,2076000.0
2022,Port Phillip,3206,Albert Park,E Justice procedures offences,E20 Breaches of orders,7,2076000.0
2013,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,1,379000.0
